id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,pred,correct,em,f1,confidence,is_unanswerable,qtype
56dddf4066d3e219004dad5f,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56dddf4066d3e219004dad61,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad3a266604f3c001a3fea2b,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb89,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb8a,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
56dde0ba66d3e219004dad75,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
5ad3ae14604f3c001a3fec39,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56dde27d9a695914005b9651,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56dde2fa66d3e219004dad9b,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
5ad3dbc6604f3c001a3ff3ec,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56de0ffd4396321400ee258e,Mistral-7B-Instruct-v0.1,squad2,True,3,2.0,0.8112781244591301,0.40563906222956503,False,Robert Crispin went up against the Turks in the 1060s.,False,0.0,0.4,-0.030617004317981866,False,squad2
5ad3de8b604f3c001a3ff469,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
5ad3ed26604f3c001a3ff79b,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56de15dbcffd8e1900b4b5ca,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
5ad3f187604f3c001a3ff871,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad3f6f5604f3c001a3ffa0a,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
56de3e414396321400ee26d9,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
5ad40358604f3c001a3ffd7d,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad532575b96ef001a10ab7c,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
5ad5364c5b96ef001a10ab91,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e17e6ee3433e1400422f81,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad537a15b96ef001a10ab9c,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e181d9e3433e1400422fa0,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56e19724cd28a01900c679fa,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad53e615b96ef001a10abda,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
5ad541ad5b96ef001a10abee,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
56e1a564cd28a01900c67a4b,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56e1aba0e3433e1400423094,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
5ad547945b96ef001a10ac18,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
5ad5489b5b96ef001a10ac2c,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e1b62ecd28a01900c67aa3,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
56e1b754cd28a01900c67abd,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad54b035b96ef001a10ac53,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad54b035b96ef001a10ac54,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5c,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5f,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
5ad54d625b96ef001a10ac66,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
56e1c0f6cd28a01900c67b2c,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad55ee35b96ef001a10ace4,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e1c4fce3433e1400423151,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
5ad560b85b96ef001a10ad20,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad560b85b96ef001a10ad21,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
56e1c720e3433e140042316a,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56e1c9bfe3433e1400423196,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
56e1dc62cd28a01900c67bcd,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
5ad568d35b96ef001a10ae1d,Mistral-7B-Instruct-v0.1,squad2,True,3,3.0,1.4999999999999956,0.7499999999999978,False,"The graph isomorphism problem, the discrete logarithm problem, the integer factorization problem, and the 3-coloring problem are examples of problems believed",False,0.0,0.0,-0.16426593883840823,True,squad2
56e1e9dfe3433e14004231fc,Mistral-7B-Instruct-v0.1,squad2,True,3,2.0,0.8112781244591301,0.40563906222956503,False,The problem attributed to determining if two finite graphs are isomorphic is called the graph isomorphism problem.,False,0.0,0.33333333333333337,-0.09058825072640632,False,squad2
56e1e9dfe3433e14004231ff,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,False,squad2
5ad569c05b96ef001a10ae3a,Mistral-7B-Instruct-v0.1,squad2,False,0,,,,,,,,,,True,squad2
5ad56bcd5b96ef001a10ae62,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e1f10ee3433e1400423222,Mistral-7B-Instruct-v0.1,squad2,True,3,2.0,0.9999999999999971,0.49999999999999856,False,L,True,1.0,1.0,-0.5767601430416107,False,squad2
56e1fc57e3433e140042322c,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
56e1febfe3433e1400423237,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
56e2042ecd28a01900c67c20,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,False,squad2
5ad5719f5b96ef001a10aeee,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
56e20a3ae3433e140042324a,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,False,squad2
5ad0185a77cf76001a6869b8,Mistral-7B-Instruct-v0.1,squad2,False,2,,,,,,,,,,True,squad2
5ad0185a77cf76001a6869b9,Mistral-7B-Instruct-v0.1,squad2,False,1,,,,,,,,,,True,squad2
