id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,pred,correct,em,f1,confidence,is_unanswerable,qtype
56dddf4066d3e219004dad5f,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
56dddf4066d3e219004dad61,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
5ad3a266604f3c001a3fea2b,OpenBioLLM-8B,squad2,False,1,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb89,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb8a,OpenBioLLM-8B,squad2,False,1,,,,,,,,,,True,squad2
56dde0ba66d3e219004dad75,OpenBioLLM-8B,squad2,False,1,,,,,,,,,,False,squad2
5ad3ae14604f3c001a3fec39,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
56dde27d9a695914005b9651,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
56dde2fa66d3e219004dad9b,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,False,squad2
5ad3dbc6604f3c001a3ff3ec,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
56de0ffd4396321400ee258e,OpenBioLLM-8B,squad2,True,3,2.0,0.9999999999999971,0.49999999999999856,False,The answer is that Robert Crispin led the Normans of Edessa against the Turks in the 1060s.,False,0.0,0.2666666666666667,-0.13131136205261768,False,squad2
5ad3de8b604f3c001a3ff469,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,True,squad2
5ad3ed26604f3c001a3ff79b,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
56de15dbcffd8e1900b4b5ca,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,False,squad2
5ad3f187604f3c001a3ff871,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
5ad3f6f5604f3c001a3ffa0a,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,True,squad2
56de3e414396321400ee26d9,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,False,squad2
5ad40358604f3c001a3ffd7d,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
5ad532575b96ef001a10ab7c,OpenBioLLM-8B,squad2,False,1,,,,,,,,,,True,squad2
5ad5364c5b96ef001a10ab91,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
56e17e6ee3433e1400422f81,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
5ad537a15b96ef001a10ab9c,OpenBioLLM-8B,squad2,False,2,,,,,,,,,,True,squad2
56e181d9e3433e1400422fa0,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
56e19724cd28a01900c679fa,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
5ad53e615b96ef001a10abda,OpenBioLLM-8B,squad2,False,1,,,,,,,,,,True,squad2
5ad541ad5b96ef001a10abee,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,True,squad2
56e1a564cd28a01900c67a4b,OpenBioLLM-8B,squad2,False,0,,,,,,,,,,False,squad2
